customer_id,segment,region,company_size,total_orders,total_order_items,total_revenue,avg_discount_pct,share_order_items_discounted,product_diversity,avg_margin_proxy_pct,realized_price_cv,share_orders_discounted,share_orders_high_discount,repeat_discount_behavior,weighted_discount_pct,revenue_high_discount_share,high_discount_revenue_value
C00642,Enterprise,Europe,Enterprise,22,44,4003089.0,0.239125,1.0,21,0.41059824263419453,0.4846977809450688,1.0,1.0,1.0,0.2391161514759663,1.0,4003089.0
C00896,Enterprise,North America,Enterprise,10,19,1640050.48,0.25133157894736846,1.0,15,0.46985008025392305,0.5170480616170544,1.0,1.0,1.0,0.2523775701651165,1.0,1640050.48
C00914,Public Sector,Europe,Enterprise,6,15,1381138.37,0.22920666666666667,1.0,10,0.30759806995808575,0.4323026628827178,1.0,1.0,1.0,0.23403786543835278,1.0,1381138.37
C00937,Enterprise,North America,Large,11,30,1542953.26,0.23877666666666666,1.0,17,0.4087104696565778,0.5519514465880515,1.0,1.0,1.0,0.2420307864776976,0.9864004435234803,1521969.7799999998
C00495,Enterprise,Europe,Enterprise,2,4,681982.56,0.228025,1.0,4,0.3521303010861786,0.37345818388367796,1.0,1.0,1.0,0.22957626172733858,0.9247809504102273,630684.48
C01169,Enterprise,North America,Enterprise,22,56,4997983.57,0.23737857142857144,1.0,23,0.3939971536027116,0.4600718334143542,1.0,0.9545454545454546,0.9047619047619048,0.23787276148699993,0.916056718849918,4578436.43
C01118,Enterprise,LATAM,Large,5,13,727935.6,0.21857692307692306,1.0,9,0.44701652272591985,0.42003939914337657,1.0,1.0,1.0,0.2208425101399834,0.9129222420225086,664548.6
C01148,Enterprise,LATAM,Enterprise,73,171,16569822.66,0.23825555555555555,1.0,28,0.42442626961791147,0.47904286988723266,1.0,0.958904109589041,0.9166666666666666,0.23857425602105964,0.9076703890323954,15039937.38
C01195,Enterprise,Europe,Large,19,43,2125918.7,0.21629302325581393,1.0,18,0.461363813928476,0.45189045055748084,1.0,0.9473684210526315,0.8888888888888888,0.2207994329604831,0.9047519926326438,1923429.18
C00167,Enterprise,North America,Large,15,28,2043391.3199999998,0.240275,1.0,14,0.4248848579710268,0.40561167282401867,1.0,0.9333333333333333,0.8571428571428571,0.24144709428134986,0.8998343841452748,1838713.77
C00749,Enterprise,North America,Enterprise,10,22,2098562.53,0.2261181818181818,1.0,15,0.40938893091480427,0.48568496039844344,1.0,1.0,1.0,0.2278525947350338,0.8965217395738025,1881406.93
C00934,Enterprise,APAC,Large,11,31,2481603.13,0.21665806451612904,1.0,15,0.40695723610093104,0.38971319723017006,1.0,1.0,1.0,0.2173960503928255,0.8768357130497333,2175958.25
C00993,Enterprise,LATAM,Enterprise,30,68,6026091.67,0.22787941176470586,1.0,23,0.3941906288745274,0.474538900886949,1.0,0.9333333333333333,0.896551724137931,0.22628098162340504,0.8692315644776775,5238069.09
C00995,Enterprise,Europe,Enterprise,39,89,8901066.85,0.2246067415730337,1.0,27,0.42404993849899647,0.4983699937849151,1.0,0.8717948717948718,0.7631578947368421,0.22757167425886185,0.8675603801357812,7722212.94
C01186,Enterprise,LATAM,Enterprise,5,9,660752.5599999999,0.21889999999999998,1.0,5,0.5225660609791306,0.5147909075163711,1.0,1.0,1.0,0.23270275544465577,0.8642076241066703,571027.4
C00132,Enterprise,Europe,Enterprise,31,71,5916508.02,0.23215211267605634,1.0,22,0.4085063272604784,0.48070355201672404,1.0,1.0,1.0,0.23019695754186242,0.858644817657156,5080178.95
C00012,Enterprise,LATAM,Enterprise,12,28,2843194.7,0.23805,1.0,15,0.43644857213356364,0.48489140024888466,1.0,0.9166666666666666,0.8181818181818182,0.2348582025196591,0.8499782410258431,2416653.63
C00357,Enterprise,APAC,Enterprise,17,38,3219149.46,0.2221921052631579,1.0,15,0.43567909042084724,0.4793786771259868,1.0,1.0,1.0,0.22384298854494575,0.8440053976245018,2716979.52
C00025,Enterprise,North America,Enterprise,20,50,4821230.46,0.217772,1.0,21,0.4403940998283118,0.5354338277331757,1.0,1.0,1.0,0.21838540898651226,0.8354946571046098,4028112.29
C00301,Enterprise,Europe,Enterprise,35,85,7677365.52,0.2211094117647059,1.0,25,0.41764410350832437,0.4606697606928633,1.0,0.9428571428571428,0.8823529411764706,0.22265340768185854,0.8170302330479636,6272639.74
C00982,Enterprise,APAC,Enterprise,22,50,4488642.58,0.225666,1.0,20,0.3968279573619246,0.42801981603554784,1.0,1.0,1.0,0.22323561799361702,0.8136696751649136,3652272.3499999996
C00370,Enterprise,Europe,Enterprise,44,100,10127589.52,0.220155,1.0,25,0.4405817877584121,0.4694446420356954,1.0,0.8636363636363636,0.7441860465116279,0.22163333601333216,0.8067819429158697,8170756.35
C00577,Enterprise,LATAM,Enterprise,21,55,6147782.18,0.22708727272727275,1.0,22,0.44080797855757936,0.41997502005553583,1.0,0.9523809523809523,0.9,0.2302378582669151,0.8059520368368029,4954817.57
C00265,Enterprise,Europe,Large,15,34,1864342.06,0.2237941176470588,1.0,17,0.42395526889720814,0.47479506230497137,1.0,0.9333333333333333,0.9285714285714286,0.2238057704604025,0.8044125336098462,1499700.1199999999
C00503,Enterprise,North America,Large,10,26,1160426.81,0.23295384615384615,1.0,15,0.40328489043054466,0.48399746031327556,1.0,1.0,1.0,0.22729348446019115,0.7843363167384938,910164.89
C00829,Enterprise,Europe,Enterprise,16,38,3956422.15,0.22043684210526315,1.0,20,0.40314245099012,0.48362663072257167,1.0,0.75,0.5333333333333333,0.22326029569286615,0.7706926471433287,3049185.46
C00949,Enterprise,LATAM,Enterprise,11,32,2910990.57,0.222825,1.0,19,0.4347035448952238,0.45907433392388713,1.0,0.7272727272727273,0.4,0.22301617090637638,0.7677402713125244,2234884.69
C00657,Enterprise,North America,Enterprise,34,75,6124261.36,0.219816,1.0,22,0.3839384432373861,0.4588069423994565,1.0,0.9117647058823529,0.8181818181818182,0.22004776497756448,0.7653338818315878,4687104.72
C00913,Enterprise,North America,Large,6,17,904588.84,0.2089058823529412,1.0,7,0.4678559977534438,0.3851846190023818,1.0,1.0,1.0,0.2120066539156073,0.7616200195439068,688952.97
C00858,Enterprise,Europe,Large,30,68,3976165.04,0.22057205882352943,1.0,23,0.43800449158838195,0.5817346387460466,1.0,1.0,1.0,0.21659109368029358,0.7510562564576041,2986323.63
C00916,Public Sector,APAC,Large,14,32,1928271.11,0.207028125,1.0,18,0.38716664797979566,0.48023337947662265,1.0,0.7857142857142857,0.6923076923076923,0.2108846551499139,0.7441329347095803,1434890.04
C00689,Enterprise,APAC,Large,3,4,323415.27,0.204725,1.0,4,0.5274311889370371,0.46781516725740446,1.0,0.6666666666666666,0.5,0.22104975869816113,0.7356048154436244,237905.83
C00279,Enterprise,Europe,Enterprise,12,32,3032130.57,0.211725,1.0,18,0.40486507638383595,0.39260675331302064,1.0,1.0,1.0,0.21189417738122732,0.7337034268943108,2224684.59
C00939,Enterprise,LATAM,Large,8,19,1158108.3699999999,0.22054736842105266,1.0,9,0.368205190213473,0.46226511358017974,1.0,0.75,0.5714285714285714,0.22278507707976197,0.7299149042502819,845320.56
C00296,Enterprise,Europe,Large,9,29,1399064.8900000001,0.22184482758620688,1.0,18,0.46583657782543136,0.4802522654329363,1.0,0.8888888888888888,0.75,0.21652088899910943,0.7270672627629158,1017214.2799999999
C01188,Public Sector,North America,Large,25,58,3094088.88,0.21332413793103447,1.0,24,0.40584573115582206,0.4292797490575621,1.0,1.0,1.0,0.21553934895859114,0.723917462254672,2239864.97
C00512,Enterprise,North America,Large,13,38,2236522.26,0.21923684210526315,1.0,24,0.44010212108071833,0.5022012558587927,1.0,0.9230769230769231,0.8333333333333334,0.2161313669177993,0.723351950898982,1617792.74
C00521,Enterprise,North America,Enterprise,12,33,2806216.59,0.23133636363636365,1.0,17,0.432621746203169,0.5303585764490553,1.0,1.0,1.0,0.2276315081772996,0.7229923902630766,2028873.24
C01163,Enterprise,Europe,Enterprise,42,103,9683211.65,0.2163514563106796,1.0,26,0.415547691649003,0.4881099561879429,1.0,0.8571428571428571,0.7073170731707317,0.21528106629753557,0.7225387374446164,6996495.5200000005
C00606,Enterprise,Europe,Enterprise,13,30,2652316.64,0.22847,1.0,20,0.4218903647773876,0.45820073514573534,1.0,0.8461538461538461,0.6666666666666666,0.2293723689956179,0.7215291723238595,1913723.83
C00293,Enterprise,Europe,Enterprise,40,90,8248456.05,0.22214555555555554,1.0,28,0.41912337559807344,0.49529609566025323,1.0,0.875,0.7948717948717948,0.22162220568325647,0.7192068775101251,5932346.32
C00585,Enterprise,North America,Large,16,34,2374288.98,0.2126529411764706,1.0,23,0.4371721399480978,0.4529171249873457,1.0,0.9375,0.8666666666666667,0.21714450161475468,0.7047842381848565,1673361.45
C00430,Enterprise,North America,Enterprise,7,14,1366879.35,0.21246428571428572,1.0,10,0.35608980847711397,0.5058264479628954,1.0,0.8571428571428571,0.6666666666666666,0.21343519161611466,0.7038111447071024,962024.9200000002
C00892,Public Sector,APAC,Enterprise,9,23,1639786.59,0.2106565217391304,1.0,14,0.4806305872051023,0.47831756453386814,1.0,0.8888888888888888,0.75,0.20993326959638187,0.7032101659033569,1153114.6
C00295,Enterprise,Europe,Enterprise,51,123,11279542.06,0.21373821138211382,1.0,26,0.40881299695517664,0.4469514388061816,1.0,0.9019607843137255,0.82,0.21653810793234568,0.7017231823682742,7915116.15
C00459,Enterprise,North America,Enterprise,37,90,8084054.05,0.21808666666666668,1.0,25,0.432813050204089,0.5159794810080014,1.0,0.8648648648648649,0.7222222222222222,0.2197711433229925,0.7004107487381285,5662158.35
C00305,Enterprise,LATAM,Enterprise,8,21,1710382.73,0.20832857142857145,1.0,13,0.4579176903719477,0.5218743941904258,1.0,0.75,0.42857142857142855,0.20716382452809443,0.700271155099888,1197731.69
C00001,Enterprise,Europe,Large,10,23,1133511.19,0.21475652173913043,1.0,14,0.41813825502793817,0.4316519502509127,1.0,0.9,0.8888888888888888,0.21740041100732604,0.6985156097135663,791775.26
C00371,Enterprise,North America,Large,19,42,2496036.0,0.21852619047619048,1.0,22,0.4220530365077434,0.5114791923533584,1.0,0.9473684210526315,0.8888888888888888,0.21637779920158642,0.6954556745175149,1735882.4
C00162,Enterprise,North America,Enterprise,38,94,8885702.49,0.21152872340425533,1.0,28,0.44128458676424204,0.47941193871341753,1.0,0.8421052631578947,0.6756756756756757,0.21245953403952542,0.6935887249135211,6163023.06
C00053,Enterprise,North America,Enterprise,12,22,1917486.63,0.21011363636363634,1.0,12,0.41161781197308916,0.5168834128364707,1.0,0.8333333333333334,0.6363636363636364,0.21072096232708165,0.6906086849742468,1324232.92
C00758,Enterprise,North America,Large,18,50,2927182.81,0.211206,1.0,23,0.43527617382694245,0.4771098443720641,1.0,0.7777777777777778,0.5294117647058824,0.20824606421372305,0.6861444571000334,2008470.2600000002
C01083,Enterprise,North America,Enterprise,44,104,9374791.97,0.21087980769230769,1.0,25,0.40798566036046374,0.4863798015961271,1.0,0.7727272727272727,0.6046511627906976,0.2099075409385972,0.6760609622359438,6337930.88
C01174,Enterprise,North America,Large,12,31,1906955.01,0.21031290322580645,1.0,15,0.4281781515037741,0.5180030240551083,1.0,0.8333333333333334,0.7272727272727273,0.20908412080241953,0.6751317011930974,1287445.78
C00426,Enterprise,LATAM,Enterprise,22,47,4530470.99,0.21224893617021276,1.0,18,0.45432118907068997,0.44167559933157313,1.0,0.8181818181818182,0.6190476190476191,0.20917549264113014,0.6748064973262305,3057191.2600000002
C00137,Public Sector,North America,Enterprise,3,5,874969.19,0.18408,1.0,4,0.33341958571713926,0.21199974381879264,1.0,0.6666666666666666,0.5,0.19308877596773327,0.6663690866646402,583052.42
C00046,Enterprise,North America,Large,23,66,4056461.44,0.20920757575757576,1.0,24,0.4229540063288969,0.47283170423086557,1.0,0.9130434782608695,0.8181818181818182,0.21018236933881762,0.6660442703480992,2701782.9
C01085,Public Sector,North America,Enterprise,6,12,1232763.58,0.21118333333333336,1.0,9,0.4309819896242859,0.4165273503378569,1.0,0.8333333333333334,0.6,0.21649587000294593,0.6603839075129069,814097.23
C01014,Public Sector,Europe,Large,19,41,2080227.91,0.22547317073170733,1.0,20,0.40345164265500716,0.4445559161039797,1.0,0.8421052631578947,0.7222222222222222,0.22219952781476351,0.6603638204238881,1373707.25
C00402,Enterprise,North America,Large,44,100,5370515.78,0.218682,1.0,24,0.42363702595689223,0.5219721841350149,1.0,0.8636363636363636,0.7209302325581395,0.21549574552462802,0.6553813998848356,3519736.15
C00117,Enterprise,Europe,Large,26,61,3153843.32,0.21542459016393442,1.0,20,0.413687766327587,0.4490504156364729,1.0,0.7307692307692307,0.48,0.21742666462317822,0.6514761107409737,2054653.5799999998
C00321,Enterprise,North America,Large,12,23,1549342.78,0.2076391304347826,1.0,13,0.4691955129648349,0.5175446795205281,1.0,0.9166666666666666,0.8181818181818182,0.20873303923331768,0.6454710493439031,1000055.91
C00780,Enterprise,North America,Large,5,9,599385.42,0.2094111111111111,1.0,8,0.41166614778834615,0.29903270190812203,1.0,1.0,1.0,0.2091050922184684,0.6446655976383276,386403.16000000003
C00343,Enterprise,North America,Large,43,98,5305124.52,0.20981326530612246,1.0,26,0.44104000788486014,0.5116056990360379,1.0,0.8837209302325582,0.7619047619047619,0.20818367642652527,0.6433886004244064,3413256.6400000006
C00441,Enterprise,LATAM,Enterprise,41,93,9296262.01,0.21181612903225808,1.0,26,0.4143512527089034,0.46746952800967206,1.0,0.7560975609756098,0.55,0.2128591732604091,0.6341650916958181,5895364.850000001
C00667,Enterprise,APAC,Large,15,33,2012666.54,0.20827878787878787,1.0,17,0.416823561162747,0.4161344040026265,1.0,0.8,0.7857142857142857,0.20838176517697612,0.6339745579513633,1275979.38
C00713,Enterprise,APAC,Enterprise,12,26,2395070.0,0.20651153846153847,1.0,15,0.4020594275160717,0.4684225543515683,1.0,0.5833333333333334,0.2727272727272727,0.20657491423071914,0.6253163039076103,1497676.32
C00992,Enterprise,Europe,Enterprise,24,68,6706711.8,0.20776617647058823,1.0,24,0.42280415812473837,0.4391388060747006,1.0,0.875,0.7391304347826086,0.20881007071673469,0.6159853163811214,4131235.99
C00520,Enterprise,LATAM,Enterprise,32,81,6807700.3,0.20839259259259257,1.0,25,0.4257869210598725,0.48386772490851787,1.0,0.78125,0.6129032258064516,0.20963617344232996,0.6153582186924416,4189174.33
